RegionName,StateName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Virginia Beach, VA",VA,116565.383,121459.1839,127735.3222,137529.4485,153273.7395,184981.7764,226629.67,245795.2793,248671.5765,237056.7348,225501.1518,216630.9957,205475.3281,210347.8682,213402.1446,216687.2662,223854.729,227793.4376,233330.3292,238368.1111,248885.4411,272113.2019,301675.2085,321250.0169,340138.2865
"Providence, RI",RI,140917.8584,152412.8247,174481.1102,208049.2655,247094.0155,284843.0591,308079.9231,301853.6583,287260.1982,254986.9021,240561.03,236134.1437,221329.1037,222042.2639,234462.8036,241683.5064,255556.4878,271872.6746,290496.834,303992.3704,317288.543,356386.2945,397896.7868,431030.8509,464103.5941
"Jacksonville, FL",FL,113251.7652,120420.7014,129798.28,139812.2316,152666.8386,172739.2808,202980.1259,226349.2107,215933.4238,189301.3538,167797.1374,152114.6921,137368.0503,141088.7454,158200.3265,167540.8929,179530.4242,193081.0961,209268.6928,225715.048,236046.373,258345.6919,318056.9087,361468.5109,359077.0896
"Milwaukee, WI",WI,142714.0317,149117.1436,159303.6307,169777.9563,184941.7127,201929.7859,218359.8943,222039.7789,220410.3405,203298.0016,197680.6887,186485.206,174719.2548,175650.8883,184946.506,190117.6313,199651.3981,211280.9259,222219.6483,234205.0671,247684.9528,271323.4931,290486.5258,311375.1713,336765.2264
"Oklahoma City, OK",OK,88981.17807,92893.92753,96715.32816,100946.876,105713.2337,111699.1192,116335.6907,122114.4423,124271.5521,124328.0575,126768.6159,125156.4958,123000.124,125462.271,129778.7682,136061.4572,139031.0652,142841.5705,149058.6895,153392.3688,161353.5012,175524.0493,197781.1383,219967.2406,227458.9832
"Raleigh, NC",NC,171590.0881,177317.1628,181107.0662,183901.2433,187111.5301,192355.3014,202191.1907,214745.5709,223488.4664,216178.4981,209865.6336,204465.5857,194354.3478,198324.5365,208675.0659,218643.5205,234750.3208,250047.6347,263994.3849,277895.6441,290094.9885,315214.5807,394973.2296,431871.2261,437419.9562
"Memphis, TN",TN,109706.8057,112663.6468,115254.8318,116844.2397,119577.8471,122641.311,127763.6501,132470.0624,130294.2073,119114.6208,111803.6349,107893.0983,103694.2954,105203.786,110359.8096,116040.4892,121692.4576,127419.7846,136970.8845,147812.6901,158998.756,179750.3503,210559.6846,230446.8636,229780.956
"Richmond, VA",VA,123968.5359,129214.1137,135945.3993,145708.4048,158541.0042,176919.6846,202387.9096,219819.1268,222149.43,211868.0886,199378.884,189384.4766,178110.0708,181938.2778,189623.9348,194522.863,204323.8353,215419.5073,226805.9824,237203.99,250095.8865,275985.4589,308297.6879,339272.5004,355760.8433
"Louisville, KY",KY,107670.4402,112654.0221,120564.7161,124112.3697,127395.1882,129127.0974,136188.5893,138903.9032,139461.1375,136837.3044,135446.9452,131791.2471,127852.9625,130760.4769,135579.0263,140889.1363,147440.7139,156528.869,162830.6186,176602.5826,187804.3261,206848.7154,226833.0912,240515.4184,250829.8183
"New Orleans, LA",LA,127460.0619,134273.3185,143600.0186,151338.8605,160144.1762,169074.8486,185240.8007,201512.5077,206597.5561,196258.5082,192699.4714,188632.5108,182341.4513,183772.7708,185950.1372,192691.5537,202564.8095,206897.1954,209374.9228,210613.0058,224595.3776,239612.0302,261703.9481,258723.5813,237662.2207
"Salt Lake City, UT",UT,173687.7578,181771.9382,184706.8197,183725.3788,185652.0158,186609.3499,196162.6785,233286.0385,263948.5692,240641.7443,217353.0441,203418.7221,191588.1214,213531.9017,240038.1788,247573.5796,273205.6681,292161.0602,322527.5302,349935.2292,373595.6873,429566.1783,525467.5371,543447.8976,546235.4945
"Hartford, CT",CT,156017.5183,166908.5552,180276.2785,198482.9619,217862.0379,241698.3121,265717.1543,275036.8813,271152.1448,253172.4623,241204.0957,235894.431,221557.9239,220756.6841,224799.4404,225496.8416,228769.8547,232078.0746,238448.2366,239187.9153,243176.6306,268091.3508,293597.8771,323245.5068,360044.5417
"Buffalo, NY",NY,85085.45951,86388.91514,89608.16871,91578.41543,98930.56957,102111.6445,108003.1941,113018.2554,114881.5414,115635.9878,118076.5401,119290.1646,117153.4393,118949.078,124142.1701,127616.9576,134259.9535,141566.3386,151287.9139,159833.0893,168634.539,189113.4754,210063.8265,230186.653,244825.7462
"Birmingham, AL",AL,109844.3408,113906.2346,118308.2181,122121.0314,128079.1135,134662.7663,143365.2336,151502.2081,152808.3587,144092.8717,137906.4693,130962.1932,126665.2937,132347.3373,138349.886,142891.6239,148788.7735,153475.182,159825.8272,167860.463,179652.4346,199387.998,226530.9692,244379.2337,246240.6607
"Rochester, NY",NY,96346.56799,99599.13771,103808.4792,107619.0072,113088.1887,117852.3789,121767.3616,125044.0003,126951.1944,124815.764,124956.6003,123800.1778,121646.4964,121479.5517,124552.8532,126313.0642,131209.4325,141576.6707,141696.1684,146862.6114,155223.0424,174351.9603,190370.482,211614.264,231608.2856
"Grand Rapids, MI",MI,117278.2569,122840.8616,125945.8645,131140.6488,136949.0175,142058.5768,145331.0384,144297.4457,139534.9446,131070.1147,124186.4939,118690.7842,116328.3071,124054.733,135970.8149,145093.0336,157011.6023,171840.3227,186384.8901,198782.0289,211558.5282,236148.7258,271009.6578,290213.7139,304861.15
"Tucson, AZ",AZ,123614.5174,128591.4439,135999.9515,145390.062,156562.8602,178243.065,232028.0822,240937.6671,227646.7362,194940.6217,175272.8504,160278.5832,139495.9954,157880.2188,171821.537,176770.2951,183405.0735,193347.7028,206343.9207,219464.496,235629.2835,266063.1949,324562.2303,344734.6428,351896.5932
"Urban Honolulu, HI",HI,271652.6937,285524.0459,299716.3977,332514.1008,385502.3461,468960.3872,588606.7991,627076.031,630173.6807,598298.9948,545772.329,579935.1534,565983.9526,583866.3144,625036.4768,662441.2775,693529.0144,738942.546,774503.8112,794727.8367,798135.9718,845263.2199,978680.0852,1046533.42,1032372.094
"Tulsa, OK",OK,99110.73526,104016.4418,108687.0269,111784.6727,114323.0418,116865.6947,120348.579,124320.003,126306.2521,125830.6204,126029.0563,124125.6931,120014.9196,121957.5611,124819.7596,129537.3042,131129.89,140011.4085,141793.5277,148915.1682,157825.5432,175970.048,201640.5236,219173.7167,226837.7102
"Fresno, CA",CA,113410.4925,114274.9641,125985.2981,148356.5455,182252.8741,230995.5379,291134.076,300079.4626,263565.2318,193270.4945,169752.2996,159942.4639,141928.5811,158435.012,185427.0988,199100.2796,214201.2442,227852.5705,248398.8193,266207.4134,277626.5357,306736.075,361883.3466,380958.4275,391397.748
